Title,URL
Readout from the Vice President’s and Second Lady’s Call to NASA Astronauts aboard the International Space Station,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-second-ladys-call-nasa-astronauts-aboard-international-space-station/
Remarks by President Trump at Announcement of PREVENTS Task Force Roadmap,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-announcement-prevents-task-force-roadmap/
Press Briefing by Press Secretary Kayleigh McEnany,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-kayleigh-mcenany-061720/
Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-82/
Statement by the President,https://www.whitehouse.gov/briefings-statements/statement-by-the-president-41/
Bill Announcement,https://www.whitehouse.gov/briefings-statements/bill-announcement-100/
Readout of Second Lady Karen Pence’s Meeting with Secretaries of the Military Departments,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-meeting-secretaries-military-departments/
Text of a Letter from the President to the Speaker of the House of Representatives and the President of the Senate,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-senate-81/
Text of a Notice on the Continuation of the National Emergency With Respect to North Korea,https://www.whitehouse.gov/briefings-statements/text-notice-continuation-national-emergency-respect-north-korea/
Readout from First Lady Melania Trump’s Call with Governor Bill Lee of Tennessee,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-call-governor-bill-lee-tennessee/
